HydroSHEDS_ID Area AI_Actual CHIRPSv2.0.AVHRR.NTSG CHIRPSv2.0.BESS CHIRPSv2.0.CSIRO.PMLv2.0 CHIRPSv2.0.FluxCom.RS CHIRPSv2.0.GLEAMv3.3a CHIRPSv2.0.GLEAMv3.3b CHIRPSv2.0.MOD16A3 CHIRPSv2.0.SSEBOpv4.0 CMORPHv0.x.RAW.AVHRR.NTSG CMORPHv0.x.RAW.BESS CMORPHv0.x.RAW.CSIRO.PMLv2.0 CMORPHv0.x.RAW.FluxCom.RS CMORPHv0.x.RAW.GLEAMv3.3a CMORPHv0.x.RAW.GLEAMv3.3b CMORPHv0.x.RAW.MOD16A3 CMORPHv0.x.RAW.SSEBOpv4.0 PERSIANN.CCS.AVHRR.NTSG PERSIANN.CCS.BESS PERSIANN.CCS.CSIRO.PMLv2.0 PERSIANN.CCS.FluxCom.RS PERSIANN.CCS.GLEAMv3.3a PERSIANN.CCS.GLEAMv3.3b PERSIANN.CCS.MOD16A3 PERSIANN.CCS.SSEBOpv4.0 PERSIANN.CDR.AVHRR.NTSG PERSIANN.CDR.BESS PERSIANN.CDR.CSIRO.PMLv2.0 PERSIANN.CDR.FluxCom.RS PERSIANN.CDR.GLEAMv3.3a PERSIANN.CDR.GLEAMv3.3b PERSIANN.CDR.MOD16A3 PERSIANN.CDR.SSEBOpv4.0 PERSIANN.AVHRR.NTSG PERSIANN.BESS PERSIANN.CSIRO.PMLv2.0 PERSIANN.FluxCom.RS PERSIANN.GLEAMv3.3a PERSIANN.GLEAMv3.3b PERSIANN.MOD16A3 PERSIANN.SSEBOpv4.0 TRMM.3B42RT.AVHRR.NTSG TRMM.3B42RT.BESS TRMM.3B42RT.CSIRO.PMLv2.0 TRMM.3B42RT.FluxCom.RS TRMM.3B42RT.GLEAMv3.3a TRMM.3B42RT.GLEAMv3.3b TRMM.3B42RT.MOD16A3 TRMM.3B42RT.SSEBOpv4.0 TRMM.3B43.AVHRR.NTSG TRMM.3B43.BESS TRMM.3B43.CSIRO.PMLv2.0 TRMM.3B43.FluxCom.RS TRMM.3B43.GLEAMv3.3a TRMM.3B43.GLEAMv3.3b TRMM.3B43.MOD16A3 TRMM.3B43.SSEBOpv4.0
1050000010 45567 70.4056 32.1351 32.1351 32.1351 32.1351 32.1351 32.1351 32.1351 32.1351 11.9392 11.9392 11.9392 11.9392 11.9392 11.9392 11.9392 11.9392 15.863 15.863 15.863 15.863 15.863 15.863 15.863 15.863 62.8131 62.8131 62.8131 62.8131 62.8131 62.8131 62.8131 62.8131 75.7115 75.7115 75.7115 75.7115 75.7115 75.7115 75.7115 75.7115 80.614 80.614 80.614 80.614 80.614 80.614 80.614 80.614 109.7351 109.7351 109.7351 109.7351 109.7351 109.7351 109.7351 109.7351
1050001370 11678.4 44.1301 80.287 80.287 80.287 80.287 80.287 80.287 80.287 80.287 81.5933 81.5933 81.5933 81.5933 81.5933 81.5933 81.5933 81.5933 39.4764 39.4764 39.4764 39.4764 39.4764 39.4764 39.4764 39.4764 75.0371 75.0371 75.0371 75.0371 75.0371 75.0371 75.0371 75.0371 139.8688 139.8688 139.8688 139.8688 139.8688 139.8688 139.8688 139.8688 253.6796 253.6796 253.6796 253.6796 253.6796 253.6796 253.6796 253.6796 185.2656 185.2656 185.2656 185.2656 185.2656 185.2656 185.2656 185.2656
1050001380 5524.6 27.6963 55.9859 55.9859 55.9859 55.9859 55.9859 55.9859 55.9859 55.9859 39.7311 39.7311 39.7311 39.7311 39.7311 39.7311 39.7311 39.7311 35.9305 35.9305 35.9305 35.9305 35.9305 35.9305 35.9305 35.9305 52.5727 52.5727 52.5727 52.5727 52.5727 52.5727 52.5727 52.5727 95.8282 95.8282 95.8282 95.8282 95.8282 95.8282 95.8282 95.8282 82.1617 82.1617 82.1617 82.1617 82.1617 82.1617 82.1617 82.1617 72.5339 72.5339 72.5339 72.5339 72.5339 72.5339 72.5339 72.5339
1050001510 42400.5 14.3166 35.8771 35.8771 35.8771 35.8771 35.8771 35.8771 35.8771 35.8771 23.1437 23.1437 23.1437 23.1437 23.1437 23.1437 23.1437 23.1437 22.4657 22.4657 22.4657 22.4657 22.4657 22.4657 22.4657 22.4657 31.9435 31.9435 31.9435 31.9435 31.9435 31.9435 31.9435 31.9435 46.6691 46.6691 46.6691 46.6691 46.6691 46.6691 46.6691 46.6691 39.8771 39.8771 39.8771 39.8771 39.8771 39.8771 39.8771 39.8771 34.6905 34.6905 34.6905 34.6905 34.6905 34.6905 34.6905 34.6905
1050001520 16198.5 20.0093 40.7455 40.7455 40.7455 40.7455 40.7455 40.7455 40.7455 40.7455 23.4052 23.4052 23.4052 23.4052 23.4052 23.4052 23.4052 23.4052 23.403 23.403 23.403 23.403 23.403 23.403 23.403 23.403 34.1339 34.1339 34.1339 34.1339 34.1339 34.1339 34.1339 34.1339 49.8356 49.8356 49.8356 49.8356 49.8356 49.8356 49.8356 49.8356 45.5614 45.5614 45.5614 45.5614 45.5614 45.5614 45.5614 45.5614 41.2629 41.2629 41.2629 41.2629 41.2629 41.2629 41.2629 41.2629
1050002290 4584 10.7786 26.4347 26.4347 26.4347 26.4347 26.4347 26.4347 26.4347 26.4347 14.8829 14.8829 14.8829 14.8829 14.8829 14.8829 14.8829 14.8829 15.9945 15.9945 15.9945 15.9945 15.9945 15.9945 15.9945 15.9945 29.1693 29.1693 29.1693 29.1693 29.1693 29.1693 29.1693 29.1693 28.0514 28.0514 28.0514 28.0514 28.0514 28.0514 28.0514 28.0514 21.7194 21.7194 21.7194 21.7194 21.7194 21.7194 21.7194 21.7194 18.3242 18.3242 18.3242 18.3242 18.3242 18.3242 18.3242 18.3242
1050002300 11221.8 13.5629 21.9269 21.9269 21.9269 21.9269 21.9269 21.9269 21.9269 21.9269 17.4125 17.4125 17.4125 17.4125 17.4125 17.4125 17.4125 17.4125 19.5335 19.5335 19.5335 19.5335 19.5335 19.5335 19.5335 19.5335 28.1646 28.1646 28.1646 28.1646 28.1646 28.1646 28.1646 28.1646 32.4667 32.4667 32.4667 32.4667 32.4667 32.4667 32.4667 32.4667 27.8246 27.8246 27.8246 27.8246 27.8246 27.8246 27.8246 27.8246 22.4212 22.4212 22.4212 22.4212 22.4212 22.4212 22.4212 22.4212
1050002760 63986.6 3.415 5.0462 5.0462 5.0462 5.0462 5.0462 5.0462 5.0462 5.0462 4.3833 4.3833 4.3833 4.3833 4.3833 4.3833 4.3833 4.3833 4.3226 4.3226 4.3226 4.3226 4.3226 4.3226 4.3226 4.3226 6.1643 6.1643 6.1643 6.1643 6.1643 6.1643 6.1643 6.1643 4.857 4.857 4.857 4.857 4.857 4.857 4.857 4.857 6.0665 6.0665 6.0665 6.0665 6.0665 6.0665 6.0665 6.0665 5.8777 5.8777 5.8777 5.8777 5.8777 5.8777 5.8777 5.8777
1050002770 35181.7 3.2834 5.8928 5.8928 5.8928 5.8928 5.8928 5.8928 5.8928 5.8928 6.8038 6.8038 6.8038 6.8038 6.8038 6.8038 6.8038 6.8038 6.698 6.698 6.698 6.698 6.698 6.698 6.698 6.698 8.1881 8.1881 8.1881 8.1881 8.1881 8.1881 8.1881 8.1881 8.7721 8.7721 8.7721 8.7721 8.7721 8.7721 8.7721 8.7721 8.5408 8.5408 8.5408 8.5408 8.5408 8.5408 8.5408 8.5408 7.768 7.768 7.768 7.768 7.768 7.768 7.768 7.768
1050003990 62992.8 5.6899 8.835 8.835 8.835 8.835 8.835 8.835 8.835 8.835 7.8541 7.8541 7.8541 7.8541 7.8541 7.8541 7.8541 7.8541 4.9329 4.9329 4.9329 4.9329 4.9329 4.9329 4.9329 4.9329 4.7168 4.7168 4.7168 4.7168 4.7168 4.7168 4.7168 4.7168 6.2895 6.2895 6.2895 6.2895 6.2895 6.2895 6.2895 6.2895 6.4662 6.4662 6.4662 6.4662 6.4662 6.4662 6.4662 6.4662 5.9872 5.9872 5.9872 5.9872 5.9872 5.9872 5.9872 5.9872
