HydroSHEDS_ID Area AI CHIRPSv2.0.AVHRR.NTSG CHIRPSv2.0.BESS CHIRPSv2.0.CSIRO.PMLv2.0 CHIRPSv2.0.FluxCom.RS CHIRPSv2.0.GLEAMv3.3a CHIRPSv2.0.GLEAMv3.3b CHIRPSv2.0.MOD16A3 CHIRPSv2.0.SSEBOpv4.0 CMORPHv0.x.RAW.AVHRR.NTSG CMORPHv0.x.RAW.BESS CMORPHv0.x.RAW.CSIRO.PMLv2.0 CMORPHv0.x.RAW.FluxCom.RS CMORPHv0.x.RAW.GLEAMv3.3a CMORPHv0.x.RAW.GLEAMv3.3b CMORPHv0.x.RAW.MOD16A3 CMORPHv0.x.RAW.SSEBOpv4.0 PERSIANN.CCS.AVHRR.NTSG PERSIANN.CCS.BESS PERSIANN.CCS.CSIRO.PMLv2.0 PERSIANN.CCS.FluxCom.RS PERSIANN.CCS.GLEAMv3.3a PERSIANN.CCS.GLEAMv3.3b PERSIANN.CCS.MOD16A3 PERSIANN.CCS.SSEBOpv4.0 PERSIANN.CDR.AVHRR.NTSG PERSIANN.CDR.BESS PERSIANN.CDR.CSIRO.PMLv2.0 PERSIANN.CDR.FluxCom.RS PERSIANN.CDR.GLEAMv3.3a PERSIANN.CDR.GLEAMv3.3b PERSIANN.CDR.MOD16A3 PERSIANN.CDR.SSEBOpv4.0 PERSIANN.AVHRR.NTSG PERSIANN.BESS PERSIANN.CSIRO.PMLv2.0 PERSIANN.FluxCom.RS PERSIANN.GLEAMv3.3a PERSIANN.GLEAMv3.3b PERSIANN.MOD16A3 PERSIANN.SSEBOpv4.0 TRMM.3B42RT.AVHRR.NTSG TRMM.3B42RT.BESS TRMM.3B42RT.CSIRO.PMLv2.0 TRMM.3B42RT.FluxCom.RS TRMM.3B42RT.GLEAMv3.3a TRMM.3B42RT.GLEAMv3.3b TRMM.3B42RT.MOD16A3 TRMM.3B42RT.SSEBOpv4.0 TRMM.3B43.AVHRR.NTSG TRMM.3B43.BESS TRMM.3B43.CSIRO.PMLv2.0 TRMM.3B43.FluxCom.RS TRMM.3B43.GLEAMv3.3a TRMM.3B43.GLEAMv3.3b TRMM.3B43.MOD16A3 TRMM.3B43.SSEBOpv4.0
1050000010 45567 70.4056 38.2717 38.2763 38.2735 38.2826 38.2794 38.2832 38.2845 38.2705 58.4711 58.4729 58.4719 58.4747 58.4673 58.467 58.4669 58.47 54.5464 54.5489 54.5476 54.5513 54.5426 54.5425 54.5425 54.5452 7.6004 7.6012 7.5924 7.6503 8.015 8.1191 8.1535 7.6342 5.3425 5.3112 5.31 5.3866 6.2481 6.4521 6.5184 5.4323 10.2344 10.2102 10.2124 10.2502 10.8171 10.9544 10.9995 10.2914 39.3527 39.3297 39.3366 39.3399 39.6755 39.7501 39.7747 39.3874
1050001370 11678.4 44.1301 36.158 36.1658 36.1687 36.1706 36.159 36.1589 36.1606 36.164 37.4644 37.4716 37.4753 37.4764 37.465 37.465 37.467 37.4699 4.6681 4.74 4.654 4.7591 4.7054 4.705 4.6606 4.7322 30.9076 30.9177 30.9172 30.923 30.9099 30.9098 30.9097 30.9157 95.7467 95.741 95.7674 95.7439 95.7387 95.7387 95.7526 95.7401 209.5717 209.5499 209.6107 209.5519 209.5516 209.5517 209.5835 209.5496 141.1491 141.1365 141.1771 141.139 141.1361 141.1361 141.1574 141.1359
1050001380 5524.6 27.6963 28.2902 28.3037 28.2903 28.307 28.3468 28.3612 NA 28.2899 12.0422 12.0701 12.0358 12.0758 12.0754 12.0888 NA 12.0365 8.248 8.2864 8.2375 8.2939 8.2729 8.2874 NA 8.2389 24.8775 24.8926 24.8767 24.8962 24.9297 24.9437 NA 24.8765 68.1331 68.1369 68.1399 68.1392 68.2371 68.2585 NA 68.1381 54.4658 54.472 54.4706 54.4745 54.5539 54.5728 NA 54.4693 44.8377 44.8459 44.841 44.8486 44.9144 44.9315 NA 44.8399
1050001510 42400.5 14.3166 21.5662 21.5774 21.561 21.5823 21.5661 21.5661 21.5667 21.5612 8.8524 8.8729 8.8309 8.8808 8.8522 8.8521 8.8272 8.8304 8.1772 8.1989 8.1538 8.2072 8.177 8.1769 8.1492 8.1533 17.6354 17.6483 17.6269 17.6536 17.6353 17.6353 17.6304 17.627 32.3544 32.3627 32.3561 32.3669 32.3543 32.3543 32.367 32.3566 25.5643 25.5743 25.562 25.5789 25.5643 25.5642 25.5697 25.5623 20.3803 20.392 20.3742 20.397 20.3802 20.3802 20.3793 20.3744
1050001520 16198.5 20.0093 20.7364 20.7557 20.7389 20.7593 21.4053 21.586 20.7862 20.7465 3.4157 3.5221 3.4505 3.5346 4.2971 4.5497 3.4206 3.3962 3.4135 3.52 3.4483 3.5324 4.2952 4.5478 3.4184 3.3939 14.1248 14.1541 14.1315 14.1585 14.7615 14.9389 14.1634 14.1299 29.828 29.8393 29.8269 29.8423 30.5725 30.7679 29.8919 29.8436 25.5529 25.5676 25.5534 25.5709 26.2594 26.447 25.6104 25.5661 21.2538 21.2726 21.2562 21.2762 21.9264 22.1077 21.3045 21.2643
1050002290 4584 10.7786 15.6638 15.6823 15.6594 15.6845 15.657 15.6565 15.6914 15.9427 4.1616 4.2066 4.1108 4.2114 4.1353 4.1317 4.1082 4.2998 5.2587 5.2965 5.219 5.3006 5.2373 5.2344 5.2225 5.4132 18.3961 18.4128 18.3963 18.4149 18.3909 18.3908 18.4337 18.7057 17.279 17.2964 17.2774 17.2986 17.2732 17.2729 17.3127 17.5762 10.9557 10.9788 10.9412 10.9814 10.945 10.9439 10.9629 11.1808 7.5718 7.6011 7.5459 7.6044 7.5564 7.5545 7.5584 7.7565
1050002300 11221.8 13.5629 8.368 8.404 8.3721 8.4216 8.3736 8.3778 8.4988 9.1142 3.8712 3.9431 3.8815 3.9734 3.8514 3.8538 3.9761 4.6866 5.9801 6.029 5.9866 6.0511 5.9758 5.9792 6.0971 6.7359 14.6017 14.6221 14.603 14.6348 14.6233 14.6292 14.7689 15.4118 18.904 18.9182 18.9039 18.9293 18.9338 18.9408 19.0963 19.7837 14.2619 14.2828 14.2632 14.2956 14.2827 14.2885 14.427 15.067 8.8616 8.8958 8.8655 8.9128 8.8688 8.8732 8.9953 9.6096
1050002760 63986.6 3.415 1.7325 1.6505 1.654 1.6953 1.6647 1.6622 1.669 1.6816 1.152 1.0248 1.0312 1.0982 1.0498 1.0456 1.0571 0.997 1.1036 0.9704 0.9771 1.0477 0.9968 0.9924 1.0045 0.9343 2.7972 2.7515 2.7527 2.7736 2.7572 2.7561 2.7593 2.8363 1.56 1.4681 1.4722 1.5191 1.4845 1.4817 1.4896 1.4862 2.7022 2.6543 2.6557 2.6778 2.6605 2.6593 2.6628 2.7353 2.5196 2.467 2.4687 2.4935 2.4743 2.473 2.4769 2.5403
1050002770 35181.7 3.2834 2.6121 2.6261 2.6408 2.6418 2.7145 2.7228 2.6095 2.6663 3.5204 3.5264 3.536 3.5368 3.6597 3.6691 3.5222 3.6033 3.4147 3.4215 3.4316 3.4323 3.55 3.5593 3.416 3.4945 4.9081 4.9052 4.9097 4.9101 5.096 5.1072 4.9148 5.0275 5.4947 5.4887 5.4914 5.4917 5.7019 5.7139 5.5032 5.6283 5.2623 5.2576 5.2609 5.2613 5.4619 5.4736 5.2701 5.3904 4.4864 4.486 4.4918 4.4923 4.6601 4.6708 4.4918 4.5953
1050003990 62992.8 5.6899 3.1531 3.1492 3.1454 3.182 3.1667 3.1768 3.1544 3.1913 2.1861 2.1788 2.1691 2.2302 2.1754 2.1835 2.1883 2.1961 0.9403 0.9194 0.8831 1.0325 0.79 0.7786 0.9459 0.7681 1.1309 1.1137 1.084 1.2071 1.0069 0.997 1.1355 0.9873 0.745 0.7186 0.6753 0.867 0.5999 0.6007 0.7521 0.6084 0.886 0.8642 0.8294 0.9912 0.7763 0.779 0.892 0.7877 0.5544 0.5179 0.4537 0.7085 0.3044 0.2976 0.564 0.3017
