HydroSHEDS_ID Area AI_Actual CHIRPSv2.0.AVHRR.NTSG CHIRPSv2.0.BESS CHIRPSv2.0.CSIRO.PMLv2.0 CHIRPSv2.0.FluxCom.RS CHIRPSv2.0.GLEAMv3.3a CHIRPSv2.0.GLEAMv3.3b CHIRPSv2.0.MOD16A3 CHIRPSv2.0.SSEBOpv4.0 CMORPHv0.x.RAW.AVHRR.NTSG CMORPHv0.x.RAW.BESS CMORPHv0.x.RAW.CSIRO.PMLv2.0 CMORPHv0.x.RAW.FluxCom.RS CMORPHv0.x.RAW.GLEAMv3.3a CMORPHv0.x.RAW.GLEAMv3.3b CMORPHv0.x.RAW.MOD16A3 CMORPHv0.x.RAW.SSEBOpv4.0 PERSIANN.CCS.AVHRR.NTSG PERSIANN.CCS.BESS PERSIANN.CCS.CSIRO.PMLv2.0 PERSIANN.CCS.FluxCom.RS PERSIANN.CCS.GLEAMv3.3a PERSIANN.CCS.GLEAMv3.3b PERSIANN.CCS.MOD16A3 PERSIANN.CCS.SSEBOpv4.0 PERSIANN.CDR.AVHRR.NTSG PERSIANN.CDR.BESS PERSIANN.CDR.CSIRO.PMLv2.0 PERSIANN.CDR.FluxCom.RS PERSIANN.CDR.GLEAMv3.3a PERSIANN.CDR.GLEAMv3.3b PERSIANN.CDR.MOD16A3 PERSIANN.CDR.SSEBOpv4.0 PERSIANN.AVHRR.NTSG PERSIANN.BESS PERSIANN.CSIRO.PMLv2.0 PERSIANN.FluxCom.RS PERSIANN.GLEAMv3.3a PERSIANN.GLEAMv3.3b PERSIANN.MOD16A3 PERSIANN.SSEBOpv4.0 TRMM.3B42RT.AVHRR.NTSG TRMM.3B42RT.BESS TRMM.3B42RT.CSIRO.PMLv2.0 TRMM.3B42RT.FluxCom.RS TRMM.3B42RT.GLEAMv3.3a TRMM.3B42RT.GLEAMv3.3b TRMM.3B42RT.MOD16A3 TRMM.3B42RT.SSEBOpv4.0 TRMM.3B43.AVHRR.NTSG TRMM.3B43.BESS TRMM.3B43.CSIRO.PMLv2.0 TRMM.3B43.FluxCom.RS TRMM.3B43.GLEAMv3.3a TRMM.3B43.GLEAMv3.3b TRMM.3B43.MOD16A3 TRMM.3B43.SSEBOpv4.0
1050000010 45567 70.4056 0.6859 0.3215 0.5087 0.0271 1.8215 1.9794 2.0283 0.9155 0.2548 0.1194 0.189 0.0101 0.6768 0.7354 0.7536 0.3401 0.3386 0.1587 0.2511 0.0134 0.8992 0.9771 1.0012 0.4519 1.3407 0.6284 0.9944 0.053 3.5605 3.869 3.9646 1.7895 1.616 0.7575 1.1986 0.0639 4.2916 4.6635 4.7787 2.157 1.7206 0.8065 1.2762 0.0681 4.5695 4.9654 5.0882 2.2966 2.3422 1.0979 1.7372 0.0927 6.2202 6.7591 6.9262 3.1263
1050001370 11678.4 44.1301 1.2808 0.1949 1.9173 0 0.611 0.6162 1.509 0.2799 1.3017 0.198 1.9484 0 0.621 0.6262 1.5335 0.2845 0.6298 0.0958 0.9427 0 0.3004 0.303 0.742 0.1376 1.1971 0.1821 1.7919 0 0.5711 0.5759 1.4103 0.2616 2.2314 0.3395 3.3401 0 1.0645 1.0735 2.6288 0.4877 4.047 0.6157 6.0579 0 1.9307 1.9469 4.7679 0.8845 2.9556 0.4497 4.4241 0 1.41 1.4219 3.4821 0.6459
1050001380 5524.6 27.6963 0.8058 0.1018 1.1875 0 2.7925 3.0078 NA 1.1165 0.5718 0.0722 0.8427 0 1.9817 2.1345 NA 0.7924 0.5171 0.0653 0.7621 0 1.7922 1.9303 NA 0.7166 0.7566 0.0956 1.1151 0 2.6223 2.8244 NA 1.0485 1.3792 0.1743 2.0325 0 4.7798 5.1483 NA 1.9111 1.1825 0.1494 1.7427 0 4.0981 4.4141 NA 1.6386 1.0439 0.1319 1.5384 0 3.6179 3.8968 NA 1.4466
1050001510 42400.5 14.3166 0.4896 0.1302 1.1295 0.0147 0.4933 0.495 1.5006 1.1535 0.3158 0.084 0.7286 0.0095 0.3182 0.3193 0.968 0.7441 0.3066 0.0816 0.7073 0.0092 0.3089 0.3099 0.9397 0.7223 0.4359 0.116 1.0057 0.0131 0.4392 0.4407 1.3361 1.0271 0.6368 0.1694 1.4693 0.0192 0.6416 0.6439 1.952 1.5005 0.5442 0.1448 1.2554 0.0164 0.5483 0.5502 1.6679 1.2821 0.4734 0.1259 1.0922 0.0142 0.477 0.4786 1.451 1.1154
1050001520 16198.5 20.0093 1.0667 0.0797 0.6424 0 6.2904 6.9775 2.4211 1.635 0.6128 0.0458 0.369 0 3.6134 4.008 1.3908 0.9392 0.6127 0.0458 0.369 0 3.613 4.0077 1.3906 0.9391 0.8936 0.0668 0.5382 0 5.2697 5.8453 2.0283 1.3697 1.3047 0.0975 0.7857 0 7.6938 8.5341 2.9613 1.9998 1.1928 0.0891 0.7183 0 7.0339 7.8022 2.7073 1.8283 1.0803 0.0807 0.6506 0 6.3703 7.0661 2.4519 1.6558
1050002290 4584 10.7786 0.4535 0.0385 1.2645 0 0.7783 0.8329 1.9952 3.9532 0.2554 0.0217 0.7119 0 0.4382 0.4689 1.1233 2.2256 0.2744 0.0233 0.7651 0 0.4709 0.504 1.2072 2.3919 0.5005 0.0425 1.3953 0 0.8589 0.9191 2.2016 4.3621 0.4813 0.0408 1.3419 0 0.8259 0.8839 2.1172 4.1949 0.3726 0.0316 1.039 0 0.6395 0.6843 1.6393 3.248 0.3144 0.0267 0.8765 0 0.5395 0.5774 1.383 2.7403
1050002300 11221.8 13.5629 0.7255 0.1645 0.6141 0 1.3848 1.4646 2.4916 4.605 0.5761 0.1307 0.4877 0 1.0997 1.163 1.9786 3.6569 0.6463 0.1466 0.5471 0 1.2337 1.3047 2.2196 4.1023 0.9318 0.2113 0.7888 0 1.7788 1.8812 3.2003 5.915 1.0742 0.2436 0.9093 0 2.0505 2.1686 3.6892 6.8185 0.9206 0.2088 0.7793 0 1.7573 1.8585 3.1617 5.8436 0.7418 0.1683 0.6279 0 1.416 1.4976 2.5477 4.7088
1050002760 63986.6 3.415 0.3097 0.6418 0.62 0.4317 0.5614 0.574 0.5401 1.3018 0.269 0.5575 0.5386 0.375 0.4877 0.4986 0.4691 1.1307 0.2653 0.5498 0.5311 0.3698 0.4809 0.4917 0.4626 1.1151 0.3783 0.7841 0.7574 0.5274 0.6858 0.7012 0.6598 1.5902 0.2981 0.6178 0.5968 0.4155 0.5404 0.5525 0.5198 1.2529 0.3723 0.7716 0.7454 0.519 0.6749 0.6901 0.6493 1.565 0.3607 0.7476 0.7222 0.5028 0.6539 0.6686 0.6291 1.5162
1050002770 35181.7 3.2834 0.7647 0.5866 0.4767 0.4702 1.6301 1.6595 0.8605 1.4296 0.8829 0.6773 0.5504 0.5429 1.8821 1.9161 0.9935 1.6506 0.8692 0.6667 0.5419 0.5344 1.8529 1.8863 0.9781 1.6249 1.0625 0.815 0.6624 0.6533 2.2651 2.3059 1.1957 1.9864 1.1383 0.8732 0.7097 0.6999 2.4266 2.4704 1.2809 2.1281 1.1083 0.8502 0.6909 0.6815 2.3626 2.4053 1.2472 2.072 1.008 0.7732 0.6284 0.6198 2.1489 2.1876 1.1343 1.8845
1050003990 62992.8 5.6899 0.754 0.8188 0.9388 0.4955 1.3483 1.4264 0.7374 1.5202 0.6703 0.7279 0.8345 0.4405 1.1986 1.2681 0.6555 1.3514 0.421 0.4572 0.5241 0.2767 0.7528 0.7964 0.4117 0.8488 0.4026 0.4371 0.5012 0.2645 0.7198 0.7615 0.3937 0.8116 0.5368 0.5829 0.6683 0.3528 0.9598 1.0154 0.5249 1.0822 0.5519 0.5993 0.6871 0.3627 0.9868 1.044 0.5397 1.1126 0.511 0.5549 0.6362 0.3358 0.9137 0.9666 0.4997 1.0302
