HydroSHEDS_ID AVHRR-NTSG BESS CSIRO-PMLv2.0 ERA5-Land FLDAS FluxCom-RS FluxCom-RSM GLDASv2.1 GLEAMv3.3a GLEAMv3.3b MOD16A3 SSEBOpv4.0
1050000010 27.024 12.667 20.044 18.642 30.812 1.069 68.027 22.633 71.769 77.987 79.915 36.071
1050001370 19.442 2.958 29.102 10.609 3.34 0 0 15.944 9.275 9.353 22.905 4.249
1050001380 19.51 2.465 28.752 15.406 11.294 0 0 18.899 67.615 72.828 NA 27.035
1050001510 16.145 4.295 37.249 14.169 19.399 0.486 26.284 35.998 16.267 16.323 49.487 38.041
1050001520 38.622 2.886 23.259 34.026 22.424 0 0 44.427 227.751 252.627 87.66 59.198
1050002290 24.639 2.091 68.695 34.258 42.477 0 0 65.895 42.283 45.248 108.387 214.755
1050002300 53.01 12.023 44.872 94.161 56.797 0 32.983 79.137 101.189 107.016 182.058 336.486
1050002760 87.514 181.364 175.2 75.999 249.633 121.988 474.736 213.358 158.64 162.197 152.613 367.834
1050002770 192.169 147.412 119.806 128.366 218.38 118.161 390.338 190.948 409.668 417.061 216.251 359.269
1050003990 152.238 165.307 189.53 93.466 178.217 100.042 349.546 306.025 272.216 287.984 148.871 306.918
1050005720 128.936 173.554 143.671 77.473 231.769 148.925 366.093 259.358 100.342 102.091 104.849 282.907
1050005730 111.711 185.962 77.764 74.222 141.925 129.949 417.478 198.655 78.517 87.223 120.758 405.245
1050005860 82.166 323.41 192.793 61.713 173.895 260.051 673.686 234.538 156.702 177.26 101.872 306.454
1050005870 40.04 285.461 0 49.111 61.721 131.69 691.916 114.976 592.667 650.245 88.49 576.854
1050005880 111.261 337.475 98.454 103.546 168.313 277.025 681.242 238.007 110.379 120.407 110.259 361.189
1050005890 301.922 269.213 116.848 92.685 127.798 302.259 489.284 187.036 225.509 273.967 133.892 581.035
1050006520 293.506 307.846 55.237 43.906 94.481 290.449 497.007 152.753 34.362 35.427 130.958 372.162
1050006530 267.352 338.967 57.493 66.933 67.689 270.299 385.485 146.67 432.397 503.763 169.063 317.312
1050006850 78.406 274.544 103.666 45.083 102.834 233.839 690.793 189.405 59.596 64.567 123.436 236.515
1050006860 83.224 333.385 41.774 58.515 80.165 272.387 540.233 143.668 398.106 442.68 186.694 315.171
1050007000 45.539 255.874 143.978 58.402 121.116 115.636 682.305 209.374 90.981 99.371 164.576 102.656
1050007010 155.456 450.608 23.461 90.323 91.384 326.231 445.14 175.756 583.178 701.664 303.468 396.003
1050007060 70.098 316.282 108.209 56.501 106.043 262.665 735.608 192.973 80.069 88.311 186.102 163.887
1050007070 109.769 430.686 58.813 80.539 122.414 300.895 636.549 201.699 178.653 201.296 230.029 247.62
1050007260 72.058 337.171 148.098 65.881 146.36 198.766 754.193 233.788 115.841 124.923 151.917 116.611
1050007270 370.08 460.429 118.304 125.43 178.277 426.377 740.881 279.908 463.135 482.914 375.49 280.025
1050008100 636.022 891.735 276.953 218.102 434.807 812.135 638.472 414.613 435.8 433.623 714.994 684.892
1051144990 931.573 882.587 206.898 195.974 461.13 1083.952 489.783 515.364 452.284 443.025 756.319 1037.351
1051145090 844.82 950.454 374.659 157.655 541.82 1051.986 951.184 544.805 384.502 389.51 639.719 1106.634
1051139500 886.234 972.907 348.84 189.925 497.674 1041.692 1002.331 539.477 472.849 483.31 720.796 1011.267
1051139430 491.082 735.33 362.694 152.634 397.117 639.005 857.245 465.201 332.646 343.006 422.613 902.831
1051131830 471.569 644.538 402.801 153.632 379.352 557.003 769.262 406.704 298.721 311.172 426.248 622.756
1051131990 464.445 955.517 374.646 109.438 519.289 738.526 963.743 531.629 350.169 360.411 446.435 772.812
1051132520 438.687 710.948 311.457 100.833 399.311 666.647 824.988 456.414 272.689 278.114 380.747 722.402
1051132340 380.323 607.76 337.324 101.115 344.493 588.976 844.04 394.116 254.333 263.188 319.27 607.148
1051115400 493.269 610.18 256.824 140.349 281.647 607.371 850.612 411.393 284.568 294.303 398.474 594.307
1051115240 599.036 751.346 398.579 165.547 393.158 766.858 894.52 505.374 370.122 380.512 527.764 829.299
1051137860 363.302 511.463 406.219 111.797 230.667 424.361 827.379 360.244 227.066 236.214 254.844 330.803
1051137960 400.388 588.533 402.594 108.607 249.882 495.907 829.886 378.23 230.703 237.557 275.856 486.136
1051118600 849.759 324.266 796.476 228.783 594.692 860.649 837.338 482.176 531.03 562.174 528.708 417.948
1051118440 570.081 470.411 495.876 143.38 339.539 552.1 782.538 398.138 338.488 360.471 359.45 386.97
1051046600 381.077 594.941 246.783 128.647 231.19 313.572 768.379 342.773 215.23 230.678 244.04 585.118
1051046480 342.937 529.559 259.534 111.546 262.503 333.71 791.605 352.376 227.494 244.095 242.082 519.041
