HydroSHEDS_ID CERES ERA5-Land FluxCom-RS FluxCom-RSM
1050000010 1266.124 2402.678 5.061 267.933
1050001370 1218.677 2574.394 0 0
1050001380 1355.586 2455.223 0 0
1050001510 1183.154 2574.87 3.428 115.723
1050001520 1475.232 2466.78 0 0
1050002290 1436.065 2668.486 0 0
1050002300 1602.197 2383.726 0 99.343
1050002760 1425.905 2531.434 437.257 1089.044
1050002770 1480.928 2268.747 456.517 1109.907
1050003990 1783.729 2448.174 378.22 902.894
1050005720 2015.721 2374.556 582.485 1443.66
1050005730 1948.105 2404.223 520.652 1428.112
1050005860 1453.338 2296.927 970.398 1515.771
1050005870 1880.486 1895.402 546.963 1467.842
1050005880 1880.486 2335.185 986.885 1486.282
1050005890 1820.52 2468.961 1007.802 1513.814
1050006520 1889.986 2351.228 1178.083 1472.59
1050006530 1958.305 2263.345 1004.697 1102.927
1050006850 1394.759 2188.11 848.82 1532.361
1050006860 1679.355 1974.174 1008.752 1480.737
1050007000 1282.119 2197.771 431.43 1542.749
1050007010 1923.812 2146.273 1095.143 1110.067
1050007060 1507.247 2221.926 994.018 1555.171
1050007070 1439.832 2202.441 1067.609 1511.088
1050007260 1259.778 2193.036 685.699 1562.564
1050007270 1785.139 2164.602 1072.7 1543.922
1050008100 2072.585 2582.546 1501.214 1194.646
1051144990 2072.585 2608.849 1682.655 875.837
1051145090 1903.119 2489.834 1582.263 1618.427
1051139500 1898.894 2554.221 1642.2 1771.712
1051139430 1739.974 2561.585 1453.376 1661.075
1051131830 1561.976 2430.776 1314.276 1583.703
1051131990 1736.989 2392.422 1265.121 1620.014
1051132520 1724.979 2400.18 1252.444 1550.104
1051132340 1682.052 2400.015 1251.871 1579.645
1051115400 1702.718 2529.398 1380.171 1640.056
1051115240 1767.527 2575.583 1527.488 1737.656
1051137860 1730.732 2447.206 1194.898 1561.419
1051137960 1711.812 2440.435 1247.191 1562.015
1051118600 1921.606 2696.706 1490.873 1599.74
1051118440 1789.772 2646.475 1317.016 1604.42
1051046600 1490.634 2480.126 1039.956 1529.379
1051046480 1505.506 2500.91 1115.284 1556.463
1051038680 1528.584 2388.614 1050.617 1497.516
1051038740 1582.252 2385.409 1473.302 1599.9
1051035420 1566.536 2473.784 1496.3 1658.479
1051035300 1616.584 2493.204 1517.763 1698.234
1051014470 1483.693 2408.489 1310.441 1590.152
1051014460 1445.642 2396.49 1162.627 1580.676
1050992050 1602.835 2305.822 1689.127 1620.756
1050991900 1715.931 2377.303 1693.264 1692.849
1050982500 1567.311 2402.454 1184.54 1628.39
1050982060 1431.59 2337.904 1197.623 1543.558
1050929730 1800.186 2576.755 1654.404 1804.869
1050929860 1574.624 2390.926 1183.069 1561.739
1050918220 1711.879 2591.115 1739.93 1839.87
1050918230 1652.447 2496.439 1530.597 1640.937
1050901700 1689.222 2568.009 1657.668 1592.93
1050901710 1838.387 2541.448 1556.189 1601.815
1050008110 1891.288 2429.311 1560.959 1669.672
1050008470 1756.545 2462.865 1438.715 1556.007
1050008480 2057.267 2083.427 1334.276 1023.37
1050008570 1679.25 2464.581 1441.734 1500.449
1050008580 1673.183 2399.282 1439.206 1534.051
1050009010 1643.931 2443.671 1544.979 1562.091
1050009020 1893.012 2314.87 1736.885 1712.673
1050009130 1642.372 2472.682 1733.159 1684.358
1050009140 1770.491 2457.754 1803.808 1687.245
1050009170 1721.411 2360.788 1748.993 1672.639
1050009180 1928.031 2418.759 1572.118 1780.479
1050009450 1918.621 2346.229 1771.809 1708.832
1051299640 1734.114 2331.032 1708.332 1646.622
