HydroSHEDS_ID CHIRPSv2.0 CMORPHv0.x-RAW CPC-Unifiedv1.0 CRU-TSv4.03 ERA5-Land ERA5 GPCCv7.0 PERSIANN-CCS PERSIANN-CDR PERSIANN PREC-Land SM2RAIN-CCI TRMM-3B42RT TRMM-3B43 UDELv5.0
1050000010 39.4 106.048 5.433 28.344 11.312 10.486 5.632 79.816 20.157 16.723 6.143 47.234 15.706 11.538 19.76
1050001370 15.179 14.936 1.797 35.671 8.216 7.228 8.774 30.871 16.241 8.713 6.032 58.503 4.804 6.578 8.685
1050001380 24.213 34.119 6.038 34.922 16.359 14.9 21.131 37.728 25.785 14.146 13.168 38.589 16.499 18.689 26.985
1050001510 32.978 51.122 31.74 61.001 19.008 18.642 41.047 52.665 37.039 25.352 29.226 55.016 29.67 34.106 78.674
1050001520 36.206 63.03 35.534 58.281 44.785 47.293 37.498 63.036 43.219 29.602 28.444 34.313 32.379 35.752 62.25
1050002290 54.325 96.491 54.345 99.487 78.156 86.521 52.973 89.785 49.232 51.194 53.405 66.073 66.119 78.37 126.606
1050002300 73.07 92.014 53.833 80.94 219.845 228.728 80.553 82.023 56.887 49.349 78.58 77.921 57.582 71.459 157.392
1050002760 282.568 325.307 161.43 224.828 193.279 187.754 207.336 329.875 231.315 293.578 210.816 185.625 235.044 242.595 267.022
1050002770 251.311 217.662 151.525 173.914 303.866 335.834 246.449 221.099 180.863 168.823 253.491 78.994 173.394 190.644 322.317
1050003990 201.894 227.107 178.633 239.748 216.537 223.906 286.221 361.597 378.163 283.605 275.764 157.012 275.855 297.923 250.042
1050005720 265.757 228.945 69.618 122.094 195.453 195.984 313.245 418.493 383.186 259.821 208.728 149.438 351.718 357.266 252.267
1050005730 184.051 84.731 63.12 46.931 161.486 149.015 245.187 223.917 245.539 182.586 189.738 121.842 186.672 195.085 186.511
1050005860 194.999 160.907 64.515 183.925 155.83 158.569 290.085 289.135 294.588 175.384 193.914 137.981 240.442 265.954 242.275
1050005870 137.185 80.249 60.1 37.812 103.101 122.911 306.964 183.611 261.146 137.779 183.955 96.679 168.428 180.909 229.178
1050005880 188.406 150.321 60.208 129.738 246.008 227.441 306.055 243.449 332.718 153.292 185.414 77.453 237.681 258.896 260.433
1050005890 163.549 114.946 38.674 98.703 219.046 214.355 154.644 248.526 284.353 143.154 64.948 43.016 263.481 252.124 128.648
1050006520 111.62 150.809 30.86 73 111.904 99.204 89.7 256.875 188.947 155.361 18.854 82.3 184.259 177.739 48.317
1050006530 83.991 101.96 30.699 101.25 120.653 118.497 110.749 162.754 146.439 111.334 18.307 43.859 134.034 127.425 58.554
1050006850 115.103 110.41 36.261 129.561 111.809 105.865 132.339 192.153 208.684 139.924 45.284 82.381 168.226 178.496 72.979
1050006860 98.431 135.249 36.58 94 127.807 145.703 182.101 191.637 186.685 169.364 62.93 72.437 148.232 153.404 94.258
1050007000 138.275 103.891 45.569 173.61 149.552 154.127 212.649 207.485 230.32 149.711 81.177 93.473 172.027 196.167 142.565
1050007010 122.695 162.196 31.104 80.75 176.241 157.332 206.851 225.925 215.396 217.696 86.998 89.904 179.791 186.237 62.65
1050007060 124.908 130.058 44.988 132.863 150.1 146.64 186.361 203.777 202.619 174.828 98.402 102.856 162.887 186.249 117.95
1050007070 143.958 141.222 46.818 131.981 174.242 176.397 210.761 203.557 218.362 209.496 97.059 105.051 153.559 169.917 133.906
1050007260 166.419 129.434 68.481 181.604 168.63 165.374 220.813 218.691 234.037 159.815 145.618 110.931 218.719 252.833 183.588
1050007270 208.387 175.572 115.3 221.588 266.263 277.969 249.812 208.598 265.131 188.824 201.923 127.485 225.321 250.68 226.127
